,Default = Monthly,,DO NOT TOUCH ROW 1-3,,,,,,,,,,,,,,,,,,,,,,Income Analysis,,,,,,,,,,,DSCR Calculations,,,,
Property Location (w/ Link),CoC,CR,DSCR,Property Value / Negotiated Value,Comments,PSF,Percent Down,Money Down,Loan Amount,Loan Length,Rate,Compound Rate Constant,Mortgage Payments,Taxes Monthly,Tax Property Ratio,Insurance,HOA,Recurring Payments,Property Closing Costs (15k high est),Est. Impr. Cost,Total Investment,Annual Misc. Cost,Ownership Cost,Annual Operating Expenses,Bedrooms/Unit,Rent per Bd/Unit (7% CoC),Rent per Bd/Unit (10% CR),Rent per Bd/Unit (1.2 DSCR),Rent per Bd/Unit (12% CR),Realistic Rent Avg Per Bedroom/Unit,Total Realistic Rent,Net Annual Operating Income,Annual Cash Flow,Annual Cash-On-Cash,Cap Rate,NOI 80%,Annual Mortgage Payments,DSCR (80%),Value for DSCR=1.5,Value for DSCR=1.2
5 Llewellyn Place,37.04%,12.23%,1.33,"$675,000.00",Higher Price Worst Case Scenario,,5%,"$33,750.00","$641,250.00",30,6.7%,0.866763858377,"$4,137.85",$610.42,1.09%,,,"$4,748.26","$15,000.00","$40,000.00","$88,750.00","$6,750.00","$5,310.76","$14,075.00",8,$728.56,$849.74,$876.82,$990.36,"$1,006.25","$8,050.00","$82,525.00","$32,870.86",37.04%,12.23%,"$66,020.00","$49,654.14",1.33,"$603,140.55","$745,488.18"
5 Llewellyn Place,28.74%,11.62%,1.26,"$610,000.00",Higher than current ask Worst Case Scenario,,5%,"$30,500.00","$579,500.00",30,6.7%,0.866763858377,"$3,739.39",$875.00,1.72%,,,"$4,614.39","$15,000.00","$45,000.00","$90,500.00","$6,100.00","$5,122.72","$16,600.00",8,$706.33,$808.33,$832.81,$935.42,"$1,012.50","$8,100.00","$70,880.00","$26,007.37",28.74%,11.62%,"$56,704.00","$44,872.63",1.26,"$519,544.56","$641,805.69"
5 Llewellyn Place,27.66%,11.42%,1.24,"$620,000.00",Higher than current ask Worst Case Scenario,,5%,"$31,000.00","$589,000.00",30,6.7%,0.866763858377,"$3,800.69",$875.00,1.69%,,,"$4,675.69","$15,000.00","$45,000.00","$91,000.00","$6,200.00","$5,192.35","$16,700.00",8,$715.40,$819.79,$844.67,$948.96,"$1,012.50","$8,100.00","$70,780.00","$25,171.75",27.66%,11.42%,"$56,624.00","$45,608.25",1.24,"$519,354.59","$641,443.24"
5 Llewellyn Place,26.60%,11.22%,1.22,"$630,000.00",Higher than current ask Worst Case Scenario,,5%,"$31,500.00","$598,500.00",30,6.7%,0.866763858377,"$3,861.99",$875.00,1.67%,,,"$4,736.99","$15,000.00","$45,000.00","$91,500.00","$6,300.00","$5,261.99","$16,800.00",8,$724.47,$831.25,$856.53,$962.50,"$1,012.50","$8,100.00","$70,680.00","$24,336.14",26.60%,11.22%,"$56,544.00","$46,343.86",1.22,"$519,164.63","$641,080.79"
5 Llewellyn Place,18.08%,11.03%,1.20,"$640,000.00",9 br @ 680k ,,5%,"$32,000.00","$608,000.00",30,6.7%,0.866763858377,"$3,923.29",$875.00,1.64%,,,"$4,798.29","$15,000.00","$83,000.00","$130,000.00","$6,400.00","$5,331.62","$16,900.00",8,$761.24,$842.71,$868.39,$976.04,"$1,012.50","$8,100.00","$70,580.00","$23,500.52",18.08%,11.03%,"$56,464.00","$47,079.48",1.20,"$518,974.67","$640,718.34"
693 Hanson Avenue,-78.22%,-4.55%,-0.51,"$300,000.00","Under Construction - PROPERTY ADDED TO FRAT, remove if flip",288.00,10%,"$30,000.00","$270,000.00",30,7%,0.878294236779,"$1,796.32",$887.08,3.55%,,,"$2,683.40","$15,000.00",,"$45,000.00","$3,000.00","$2,933.40","$13,645.00",4,$798.98,$909.27,$918.26,"$1,034.27",,$0.00,"-$13,645.00","-$35,200.80",-78.22%,-4.55%,"-$10,916.00","$21,555.80",-0.51,"-$61,309.14","-$84,136.43"
30 Bender Ave,-0.14%,7.13%,0.79,"$374,000.00","Fixer Upper - PROPERTY ADDED TO FRAT, remove if flip",287.00,10%,"$37,400.00","$336,600.00",30,7%,0.878294236779,"$2,239.41",$887.08,2.85%,,,"$3,126.49","$15,000.00","$100,000.00","$152,400.00","$3,740.00","$3,438.16","$14,385.00",4,"$1,081.79","$1,078.85","$1,090.07","$1,234.69",$950.00,"$3,800.00","$26,655.00",-$217.90,-0.14%,7.13%,"$21,324.00","$26,872.90",0.79,"$215,769.01","$260,361.27"
845 Hoover Drive,-10.50%,5.27%,0.55,"$450,000.00",Visit - Deserves a viewing potential for rooms,209.00,20%,"$90,000.00","$360,000.00",30,9%,0.933474896844,"$2,896.64",$887.08,2.37%,,,"$3,783.72","$15,000.00",,"$105,000.00","$4,500.00","$4,158.72","$15,145.00",4,"$1,192.81","$1,253.02","$1,337.86","$1,440.52",$900.00,"$3,600.00","$23,735.00","-$11,024.70",-10.50%,5.27%,"$18,988.00","$34,759.70",0.55,"$221,294.97","$254,118.72"
1819 Allen St,-265.61%,-4.28%,-0.43,"$325,000.00",Torn Down to the studs ,,,$0.00,"$325,000.00",30,7%,0.878294236779,"$2,162.23",$887.08,3.28%,,,"$3,049.32","$15,000.00",,"$15,000.00","$3,250.00","$3,320.15","$13,895.00",,"$3,407.65","$3,866.25","$4,210.48","$4,407.92",,$0.00,"-$13,895.00","-$39,841.80",-265.61%,-4.28%,"-$11,116.00","$25,946.80",-0.43,"-$92,982.08","-$116,227.60"
12 Union Street,-9.40%,5.67%,0.66,"$650,000.00",,302.00,10%,"$65,000.00","$585,000.00",30,6.5%,0.858478042746,"$3,697.60",$887.08,1.64%,,,"$4,584.68","$15,000.00",,"$80,000.00","$6,500.00","$5,126.35","$17,145.00",3,"$1,864.34","$2,281.81","$2,216.30","$2,642.92","$1,500.00","$4,500.00","$36,855.00","-$7,516.18",-9.40%,5.67%,"$29,484.00","$44,371.18",0.66,"$324,603.76","$389,504.70"
